wavenumber_cm1,signal
400.0,53.030000000000015
410.0,53.030000000000015
420.0,53.030000000000015
430.0,53.030000000000015
440.0,53.030000000000015
450.0,53.03000000000014
460.0,53.03000000000014
470.0,53.03000000000014
480.0,53.03000000000014
490.0,53.03000000000014
500.0,53.03000000000014
510.0,53.03000000000014
520.0,53.02916083916098
530.0,53.029370629370774
540.0,53.03039627039641
550.0,53.032004662004795
560.0,53.033962703962835
570.0,53.03603729603743
580.0,53.03799533799547
590.0,53.03960372960387
600.0,53.0406293706295
610.0,53.0408391608393
620.0,53.040000000000134
630.0,53.040000000000134
640.0,53.040000000000134
650.0,53.040000000000134
660.0,53.03916083916097
670.0,53.039370629370765
680.0,53.040396270396414
690.0,53.0420046620048
700.0,53.04396270396285
710.0,53.04603729603744
720.0,53.04799533799548
730.0,53.04960372960387
740.0,53.05062937062951
750.0,53.05000000000014
760.0,53.04937062937077
770.0,53.05039627039641
780.0,53.052004662004805
790.0,53.053962703962846
800.0,53.05603729603744
810.0,53.05799533799548
820.0,53.058764568764715
830.0,53.060000000000144
840.0,53.06123543123557
850.0,53.06200466200481
860.0,53.063962703962844
870.0,53.066037296037436
880.0,53.06715617715632
890.0,53.0689743589745
900.0,53.071025641025784
910.0,53.072843822843964
920.0,53.07396270396285
930.0,53.07519813519828
940.0,53.077365967366106
950.0,53.08000000000014
960.0,53.082634032634175
970.0,53.08396270396285
980.0,53.08540792540806
990.0,53.088391608391746
1000.0,53.09076923076937
1010.0,53.093962703962845
1020.0,53.097272727272866
1030.0,53.09916083916098
1040.0,53.1029370629372
1050.0,53.10706293706308
1060.0,53.11000000000014
1070.0,53.1129370629372
1080.0,53.11622377622391
1090.0,53.120209790209934
1100.0,53.12312354312368
1110.0,53.12804195804209
1120.0,53.13235431235445
1130.0,53.1361771561773
1140.0,53.14235431235445
1150.0,53.14804195804209
1160.0,53.153123543123684
1170.0,53.16020979020992
1180.0,53.166223776223916
1190.0,53.1729370629372
1200.0,53.179160839160986
1210.0,53.18643356643371
1220.0,53.19333333333348
1230.0,53.20116550116565
1240.0,53.20955710955724
1250.0,53.218741258741396
1260.0,53.22955710955725
1270.0,53.24116550116564
1280.0,53.25249417249431
1290.0,53.265804195804336
1300.0,53.27955710955725
1310.0,53.29326340326354
1320.0,53.30892773892788
1330.0,53.325361305361454
1340.0,53.3438694638696
1350.0,53.36468531468545
1360.0,53.38613053613068
1370.0,53.40878787878802
1380.0,53.434662004662144
1390.0,53.46361305361319
1400.0,53.494801864802
1410.0,53.52857808857823
1420.0,53.56776223776238
1430.0,53.60983682983698
1440.0,53.65724941724956
1450.0,53.70937062937077
1460.0,53.767948717948855
1470.0,53.83375291375306
1480.0,53.90906759906774
1490.0,53.9959440559442
1500.0,54.0961771561773
1510.0,54.211048951049094
1520.0,54.34440559440573
1530.0,54.4989743589745
1540.0,54.681305361305505
1550.0,54.90055944055958
1560.0,55.1640792540794
1570.0,55.48466200466215
1580.0,55.87888111888127
1590.0,56.37090909090924
1600.0,56.99032634032649
1610.0,57.788228438228586
1620.0,58.85384615384631
1630.0,60.374638694638854
1640.0,62.77780885780902
1650.0,66.77079254079271
1660.0,72.68986013986034
1670.0,79.67298368298388
1680.0,86.10351981352004
1690.0,90.54517482517507
1700.0,92.12051282051306
1710.0,90.54517482517507
1720.0,86.10351981352004
1730.0,79.67298368298388
1740.0,72.68986013986034
1750.0,66.77079254079271
1760.0,62.77780885780902
1770.0,60.374638694638854
1780.0,58.85384615384631
1790.0,57.788228438228586
1800.0,56.99032634032649
1810.0,56.37090909090924
1820.0,55.87888111888127
1830.0,55.48466200466215
1840.0,55.1640792540794
1850.0,54.90055944055958
1860.0,54.681305361305505
1870.0,54.4989743589745
1880.0,54.34440559440573
1890.0,54.211048951049094
1900.0,54.0961771561773
1910.0,53.9959440559442
1920.0,53.90906759906774
1930.0,53.83375291375306
1940.0,53.767948717948855
1950.0,53.70937062937077
1960.0,53.65724941724956
1970.0,53.60983682983698
