two_theta,raw_intensity,processed_intensity
20.0,52.0,-3.619428549369662e-16
20.1,52.01,0.010000000000000182
20.2,52.02,0.020000000000000382
20.3,52.03,0.03000000000000034
20.4,52.04,0.04000000000000016
20.5,52.05,0.05000000000000011
20.6,52.06,0.0600000000000005
20.7,52.07,0.07000000000000048
20.8,52.08,0.08000000000000045
20.9,52.09,0.09000000000000083
21.0,52.1,0.10000000000000114
21.1,52.11,0.11000000000000086
21.2,52.12,0.12000000000000044
21.3,52.13,0.13000000000000023
21.4,52.14,0.1399999999999998
21.5,52.15,0.14999999999999952
21.6,52.16,0.1599999999999998
21.7,52.17,0.1700000000000002
21.8,52.18,0.18000000000000016
21.9,52.19,0.19000000000000017
22.0,52.2,0.20000000000000057
22.1,52.21,0.21083916083916154
22.2,52.22,0.22146853146853177
22.3,52.23,0.2310722610722616
22.4,52.24,0.23906759906759967
22.5,52.25,0.2451048951048953
22.6,52.26,0.24906759906759962
22.7,52.27,0.251072261072262
22.8,52.28,0.25146853146853243
22.9,52.29,0.25083916083916136
23.0,52.3,0.25000000000000067
23.1,52.31,0.25000000000000067
23.2,52.32,0.25000000000000067
23.3,52.33,0.25000000000000067
23.4,52.34,0.25000000000000067
23.5,52.35,0.25000000000000067
23.6,52.36,0.25000000000000067
23.7,52.37,0.25000000000000067
23.8,52.38,0.25000000000000067
23.9,52.39,0.25000000000000067
24.0,52.4,0.25000000000000067
24.1,52.41,0.25000000000000067
24.2,52.42,0.25000000000000067
24.3,52.43,0.25000000000000067
24.4,52.44,0.25000000000000067
24.5,52.45,0.25000000000000067
24.6,52.46,0.25000000000000067
24.7,52.47,0.25000000000000067
24.8,52.48,0.25000000000000067
24.9,52.49,0.25000000000000067
25.0,52.5,0.25000000000000067
25.1,52.51,0.25000000000000067
25.2,52.52,0.25000000000000067
25.3,52.53,0.25000000000000067
25.4,52.54,0.25000000000000067
25.5,52.55,0.25000000000000067
25.6,52.56,0.25000000000000067
25.7,52.57,0.25000000000000067
25.8,52.58,0.25000000000000067
25.9,52.59,0.25000000000000067
26.0,52.6,0.25000000000000067
26.1,52.61,0.25000000000000067
26.2,52.62,0.25000000000000067
26.3,52.63,0.25000000000000067
26.4,52.64,0.25000000000000067
26.5,52.65,0.25000000000000067
26.6,52.66,0.25000000000000067
26.7,52.67,0.25000000000000067
26.8,52.68,0.25000000000000067
26.9,52.69,0.25000000000000067
27.0,52.7,0.25000000000000067
27.1,52.71,0.25000000000000067
27.2,52.72,0.25000000000000067
27.3,52.73,0.25000000000000067
27.4,52.74,0.25000000000000067
27.5,52.75,0.25000000000000067
27.6,52.76,0.25000000000000067
27.7,52.77,0.25000000000000067
27.8,52.78,0.25000000000000067
27.9,52.79,0.25000000000000067
28.0,52.8,0.25000000000000067
28.1,52.81,0.25000000000000067
28.2,52.82,0.25000000000000067
28.3,52.83,0.25000000000000067
28.4,52.84,0.25000000000000067
28.5,52.85,0.25000000000000067
28.6,52.86,0.25000000000000067
28.7,52.87,0.25000000000000067
28.8,52.88,0.25000000000000067
28.9,52.89,0.25000000000000067
29.0,52.9,0.25000000000000067
29.1,52.91,0.25000000000000067
29.2,52.92,0.25000000000000067
29.3,52.93,0.25000000000000067
29.4,52.94,0.25000000000000067
29.5,52.95,0.25000000000000067
29.6,52.96,0.25000000000000067
29.7,52.97,0.25000000000000067
29.8,52.98,0.25000000000000067
29.9,52.99,0.25000000000000067
30.0,53.0,0.25000000000000067
30.1,53.01,0.25000000000000067
30.2,53.02,0.25000000000000067
30.3,53.03,0.25000000000000067
30.4,53.04,0.25000000000000067
30.5,53.05,0.25000000000000067
30.6,53.06,0.25000000000000067
30.7,53.07,0.25000000000000067
30.8,53.08,0.25000000000000067
30.9,53.09,0.25000000000000067
31.0,53.1,0.25000000000000067
31.1,53.11,0.25000000000000067
